Date, node, time since harvest, inventory quantity 
2018-09-22,supplier,0,0.00
2018-09-22,retailer,9,0.00
2018-09-22,retailer,8,4.27
2018-09-22,retailer,7,6.09
2018-09-22,retailer,6,4.82
2018-09-22,retailer,5,0.00
2018-09-22,retailer,4,0.00
2018-09-22,retailer,3,0.00
2018-09-22,retailer,2,0.00
2018-09-22,retailer,1,0.00
2018-09-22,retailer,0,0.00
2018-09-23,supplier,9,0.00
2018-09-23,supplier,8,0.00
2018-09-23,supplier,7,0.00
2018-09-23,supplier,6,0.00
2018-09-23,supplier,5,1.93
2018-09-23,supplier,4,2.33
2018-09-23,supplier,3,4.34
2018-09-23,supplier,2,0.00
2018-09-23,supplier,1,0.00
2018-09-23,supplier,0,0.00
2018-09-23,retailer,9,0.00
2018-09-23,retailer,8,0.81
2018-09-23,retailer,7,5.60
2018-09-23,retailer,6,2.72
2018-09-23,retailer,5,0.00
2018-09-23,retailer,4,0.00
2018-09-23,retailer,3,0.00
2018-09-23,retailer,2,0.00
2018-09-23,retailer,1,0.00
2018-09-23,retailer,0,0.00
2018-09-24,supplier,9,0.00
2018-09-24,supplier,8,0.00
2018-09-24,supplier,7,0.00
2018-09-24,supplier,6,0.00
2018-09-24,supplier,5,4.07
2018-09-24,supplier,4,3.64
2018-09-24,supplier,3,10.00
2018-09-24,supplier,2,0.00
2018-09-24,supplier,1,0.00
2018-09-24,supplier,0,0.00
2018-09-24,retailer,9,0.00
2018-09-24,retailer,8,1.64
2018-09-24,retailer,7,2.15
2018-09-24,retailer,6,4.80
2018-09-24,retailer,5,0.00
2018-09-24,retailer,4,0.00
2018-09-24,retailer,3,0.00
2018-09-24,retailer,2,0.00
2018-09-24,retailer,1,0.00
2018-09-24,retailer,0,0.00
2018-09-25,supplier,9,0.00
2018-09-25,supplier,8,0.00
2018-09-25,supplier,7,0.00
2018-09-25,supplier,6,0.00
2018-09-25,supplier,5,3.09
2018-09-25,supplier,4,2.89
2018-09-25,supplier,3,5.91
2018-09-25,supplier,2,0.00
2018-09-25,supplier,1,0.00
2018-09-25,supplier,0,0.00
2018-09-25,retailer,9,0.00
